venue_id, venue_name, venie_catogory
4cb0885575ebb60c153dc5ad,La Posada Restaurant,Brazilian Restaurant
52548c9011d242b73ff463f0,Jackbar,Bar
4075e780f964a52057f21ee3,Alvin Johnson/J.M. Kaplan Hall,College Academic Building
49ef5495f964a5209e681fe3,Europan Cafe,Breakfast Spot
4b4cd551f964a520c8c026e3,Target,Big Box Store
4a065273f964a520ec721fe3,M&M's World,Chocolate Shop
45040d24f964a520de381fe3,Bouchon Bakery,Bakery
4ff24637e4b08202a97f34ae,Beneduce Vineyards,Winery
4d420479c65bf04d114b50f4,Ultimate Fitness Queens,Gym / Fitness Center
4b341573f964a520df2425e3,H-Mart,Grocery Store
4b28fd2af964a520039724e3,New York Sports Club,Gym
544be897498e5b1f7ac515a5,Costco Wholesale,Big Box Store
4e7a27d6d1649ea097f361cf,EC New York,Student Center
4b43ecaef964a52021ee25e3,Super Foodtown,Supermarket
4af10be5f964a520a1e021e3,Paris Blues,Jazz Club
4b6b5abff964a520fb022ce3,National September 11 Memorial & Museum,Memorial Site
40f1d480f964a5206a0a1fe3,High Line,Park
4bd842d2f645c9b63a77a7e0,Luna Park,Theme Park
4b12aabff964a520028c23e3,Bed Bath & Beyond,Furniture / Home Store
4b5ca7c0f964a520753c29e3,Bangz Salon & Wellness Spa,Salon / Barbershop
4a64fda8f964a52023c71fe3,Deux Amis,French Restaurant
564cb392498eb2481ba9b929,Row House,Restaurant
4b9466d7f964a520ee7734e3,El Nuevo Caridad,Spanish Restaurant
4b9abce4f964a52046d135e3,Hudson Nissan,Car Dealership
4a299706f964a520ad951fe3,LensCrafters,Optical Shop
4d28b4a28292236aedf91bbb,Columbia University Hammer Health Science,College Science Building
4d88a5886daeb60ca9bd3ee0,NJ Fitness,Gym
49bd4e25f964a52067541fe3,Equinox SoHo,Gym / Fitness Center
4b2d078af964a520b3cc24e3,Gary's Wine & Marketplace,Wine Shop
4ace6c89f964a52078d020e3,LaGuardia Airport (LGA),Airport
53bfd44e498e3a62e8811528,City World Hyundai Service Center,Auto Garage
4a80aedff964a520e9f51fe3,ShopRite,Supermarket
4eecc5d59a52993fb67042c9,FIT RxN: NYC,Gym / Fitness Center
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
4750accef964a520b24c1fe3,New Museum,Art Museum
4b049219f964a520425522e3,245 Park Ave,Coworking Space
4a40f778f964a520afa41fe3,Kings Plaza Mall,Shopping Mall
41842b00f964a520e51d1fe3,Lexington Bar & Books,Cocktail Bar
4388f700f964a520162b1fe3,Phở Grand,Vietnamese Restaurant
509eab73e4b0bae035b62704,Lunetta Pizza,Pizza Place
4a5abe91f964a520d1ba1fe3,Liberty State Park,Park
52e5a55e498e4eb9c9e805ed,District Tap House,Gastropub
4bdc9fb73904a59345084f9e,Williamsburg,Neighborhood
545be3fd498e653625baf72c,Wok to Walk,Noodle House
4b998a8ff964a520098235e3,ABC Kitchen,New American Restaurant
504d1468e4b086a8fac58d07,Williamsburg Pizza,Pizza Place
4e6d062f483b1f5ebe55b4c4,"Hoboken, NJ",City
53a0ed4d498e57c5a867b312,Blink Fitness Gates,Gym
4b1d6385f964a520d40f24e3,Barbour,Boutique
3fd66200f964a520b6e71ee3,Carnegie Hall (Stern Auditorium/Perelman Stage),Concert Hall
50674f49e4b02d0d1795ca8d,Mountain Horse Inn,Bed & Breakfast
4a1611dbf964a520ee781fe3,USA Today,Office
4d78e23c0ddba35dd2904776,Just Salad,Salad Place
4b816adff964a520d7a430e3,Toast,Breakfast Spot
4f044f5993ad64af7ace411b,Prodigy Coffee,Coffee Shop
51674d12e4b0719c90fd67fe,Glady's,Caribbean Restaurant
52fff12a498e9bd514888e66,CoCo Fresh Tea & Juice,Tea Room
4b4a2e99f964a520ac7d26e3,Murray Hill,Neighborhood
457d668cf964a520233f1fe3,Mexicali Live,Rock Club
532f3ab9498e5b36d7ae0a9a,Church Bar,Bar
4c97edbdf419a09395806b88,"Brooklyn, NY",County
4b7083c4f964a520341f2de3,CHANEL Boutique,Boutique
4b390cf4f964a5201c5525e3,Bronx-Whitestone Bridge,Bridge
548884d0498e1e200b4b2ee5,HARBS,Dessert Shop
4aca2b25f964a520b8c020e3,Duane Reade,Drugstore / Pharmacy
54b6ba25498ef234bbbe5574,Hooters,Wings Joint
5248374f11d2b3292dcf991b,Simit House Bakery & Co.,Bakery
45ac15a4f964a52061411fe3,Starbucks,Coffee Shop
56043e6c498e62a8f9f4c201,The Daily Show with Trevor Noah,TV Station
4e28648c2271752a4594123e,Molly's Cupcakes,Cupcake Shop
4b9656b7f964a520e5c634e3,Queens Borough Hall,Government Building
4b6e3597f964a520d3b12ce3,Greater Rochester International Airport (ROC),Airport
4ea832fe8b8154b19ffa31ad,Hakkasan,Chinese Restaurant
54849a5f498eb80c2a851740,Buffalo Wild Wings,American Restaurant
4ccc8285063a721ec22a8f9a,Subway Restaurant,Sandwich Place
4dc02e550f2cf6d708d889da,The Tate,Residential Building (Apartment / Condo)
54628d75498edba91729f27d,DQ Grill and Chill,Fast Food Restaurant
4dfa7f1c8877b30c3988120f,Z NYC Hotel,Hotel
5285412b11d2e21d2d0c2b87,Pergola,Mediterranean Restaurant
460d4b1ef964a52004451fe3,Whole Foods Market,Grocery Store
4f08ec20e4b09d21f71fac5e,YN,Gastropub
4c18e7d34ff90f4716100f49,Aria Wine Bar,Wine Bar
4a254e1cf964a5204e7e1fe3,Bann,Korean Restaurant
41390580f964a520dc1a1fe3,Chelsea Market,Market
4afa22cff964a520fd1622e3,Washington Heights,Neighborhood
4b036e0cf964a520594f22e3,Manhattan New School (PS 290),Elementary School
4b55f3b4f964a5205ef827e3,"Merck & Co., Inc. - Rahway Campus",Office
4b30327df964a520a3f724e3,Duane Reade,Drugstore / Pharmacy
542f62bc498ee31baa1395cb,Rocco's Tacos and Tequila Bar Brooklyn,Mexican Restaurant
51e323c4498e89a84644aed9,Larb Ubol,Thai Restaurant
433f2300f964a52050281fe3,Mike's Coffee Shop,Diner
4c3ce8e30928b7136bf494ef,Cávo,Greek Restaurant
4aec7ec1f964a520e3c721e3,Joe Junior,Diner
4a5a78f1f964a52064ba1fe3,Anella,American Restaurant
4a9880f5f964a520692c20e3,The Kettle Black,Bar
4a723060f964a5208cda1fe3,Lucky Dog,Bar
4e56634545dd92275e4c30d9,The Bean,Coffee Shop
538dec8f498eecce5c70ee6f,Urban Outfitters,Clothing Store
4bd02e66b221c9b6f62dd3d0,General Pulaski Skyway,Bridge
4afd6918f964a520a82722e3,mcgarrybowen,Office
51bcf0a5498eb31d39da1b5d,The Revelry,New American Restaurant
4dd58103bd41965192d1a75f,Dollar General,Discount Store
41229c00f964a520350c1fe3,Caracas Arepa Bar,Arepa Restaurant
510c22f2fe709a91e10a6301,Le Cirque,French Restaurant
42911d00f964a520f5231fe3,New York Penn Station,Train Station
56488c2b498e15acb6539928,HomeGoods,Department Store
4a9eb0e7f964a520e43a20e3,Saturdays Surf NYC,Coffee Shop
4ba01057f964a520de5637e3,Bluebell Cafe,American Restaurant
3fd66200f964a52015e31ee3,The Dead Poet,Pub
53e2737e498e59451b81afa2,The Lost Borough Brewing Co.,Brewery
43261680f964a520b6271fe3,Miriam,Middle Eastern Restaurant
521cad4011d2a9c6e2c198ae,Spring Studios,Event Space
4b6ca1d2f964a52006482ce3,Dunkin' Donuts,Donut Shop
4c176109f693b7139f0f5f54,MTA Bus - B6/B6LTD/B42/B82/B82LTD - Rockaway Station & Rockaway Pkwy,Bus Line
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
4ba2c506f964a520cc1738e3,Mithaas,Indian Restaurant
44cc70aef964a52010361fe3,Grape and Grain,Wine Bar
528f9b7b498e2ec69b6f07ac,Hinata Ramen,Ramen Restaurant
4baa3988f964a52029553ae3,George's Barber Shop,Salon / Barbershop
3fd66200f964a5201be71ee3,Caliente Cab Co.,Mexican Restaurant
49cabda9f964a520da581fe3,La Isla,Cuban Restaurant
49f32032f964a520686a1fe3,Buddy's Burrito & Taco Bar,Burrito Place
4a7dc7e8f964a52095ef1fe3,Georgetown Plaza,Residential Building (Apartment / Condo)
4b671656f964a5208e392be3,Sam I Am Bagels,Bagel Shop
50167296e4b034c3e10a9a37,Panera Bread,Bakery
3fd66200f964a520fbe31ee3,Dim Sum Go Go,Dim Sum Restaurant
4a395b07f964a5205f9f1fe3,Bully's Deli,Deli / Bodega
4ea0afbf9adf1e334e4cc0e6,Laughing Man Coffee & Tea,Coffee Shop
4b9c519ef964a520065f36e3,Villa Rustica Ristorante & Pizza,Italian Restaurant
543f7f4f498e909f1a490c19,Olive Garden,Italian Restaurant
4613c5bef964a52041451fe3,Tiffany & Co.,Jewelry Store
4b4bbe3ff964a52016a626e3,Hotel Edison,Hotel
51cdfe7e498e9a2d5fb70e3a,Mamajuana Cafe - Paterson,Latin American Restaurant
4c517eeccad99c743dc82cc3,Eastchester Center for Cancer Care,Doctor's Office
4eaa776e4fc6d0cb8bba966e,Wakefield,Neighborhood
55539223498e78942ad6c6dc,New Leaf Restaurant,American Restaurant
52b36c32498ea869c191d853,Corner Grind,Coffee Shop
515655b0d86cd9583f877627,Kopi Kopi,Indonesian Restaurant
4a21ab5bf964a520277d1fe3,Ihawan,Filipino Restaurant
4ae6363ef964a520aba521e3,Madison Square Garden,Basketball Stadium
4bf1f71ad39ad13a49e6aa0e,Greenwich Village,Neighborhood
4b071e92f964a5209cf722e3,SVA MFA Interaction Design Dept,College Academic Building
43db5698f964a5208a2e1fe3,Dokebi,Korean Restaurant
4cc6222106c25481d7a4a047,Rubirosa,Pizza Place
4b479393f964a520303626e3,Kings County Supreme Court,Courthouse
4bfeedbe4e5d0f473e617d1f,GameStop,Video Game Store
49eb24a3f964a520a7661fe3,Bagel Bob's,Bagel Shop
4bca623dcc8cd13addafbdcf,Strivers' Row,Neighborhood
4b105534f964a5200a6e23e3,AMC Bay Plaza Cinema 13,Multiplex
55cbc8b5498e38ec31fae302,Leaf Bar & Lounge,Roof Deck
51328f49e4b0cfae5327a986,Tutu's,American Restaurant
41102700f964a520d60b1fe3,Macy's,Department Store
4459d2f1f964a520d7321fe3,Newark Liberty International Airport (EWR),Airport
4b10814bf964a520e07123e3,Temple Emanu-El,Synagogue
4cf3f09c7bf3b60c5daa6d7f,Angel's Grill,Latin American Restaurant
4cdb016b6ad1a093a58ae956,Mill Neck,Village
4e5c09011f6e89370a22a4e1,"Jamaica, NY",Neighborhood
4ab103f0f964a520c66720e3,24 Hour Fitness,Gym / Fitness Center
533f6cbd498e931121c75f05,Kung Fu Tea 功夫茶,Bubble Tea Shop
4e77e40118387f865961f673,Le Chéile,Café
49f1c129f964a520b5691fe3,Fedora,New American Restaurant
4bad4147f964a5208c3e3be3,Eastman Theater,Theater
512f8233e4b04458d4385195,Stumptown Coffee Roasters,Coffee Shop
4ae33a3df964a520f99121e3,Think Coffee,Coffee Shop
4fc01ea6e4b0e4e80c70cf1d,Sage Brooklyn,Thai Restaurant
45f91993f964a52041441fe3,Gottlieb's Restaurant,Diner
4161e400f964a520721d1fe3,Radio City Music Hall,Concert Hall
51ca1c8d498ef3bd0794bb0a,Otto's Tacos,Mexican Restaurant
4bdc863ec79cc9286cf486e9,Phil-Am Foods,Miscellaneous Shop
40f1d480f964a5206a0a1fe3,High Line,Park
4da8daa5a86e771ea6fdad17,Boulud Sud,Mediterranean Restaurant
4b7de017f964a52049d82fe3,Starbucks,Coffee Shop
4bdc9fb73904a59345084f9e,Williamsburg,Neighborhood
4b169aaff964a520d1ba23e3,Duane Reade,Drugstore / Pharmacy
4b0dcb16f964a5203e5023e3,UPS - Maspeth Facility,Shipping Store
4a4821f5f964a52095aa1fe3,Lincoln Tunnel,Tunnel
52b7c9dc11d20991b7e81912,Kava Shteeble,Coffee Shop
4b2941fef964a520d59b24e3,"Skadden, Arps, Slate, Meagher & Flom",Lawyer
4a7b3439f964a5204cea1fe3,Myrtle Thai,Thai Restaurant
51eb44f8498e718fe6450886,Beer Culture,Bar
4dcf1958887785124409b2d8,St Giles - The Court,Hotel
4c4e154b9efabe9a42c78669,Food Plus Supermarket,Grocery Store
4ae3c32df964a520bb9821e3,Cafe Bar,Café
4edcf3dea17c4dbad1071e53,Steak 'n Shake,Burger Joint
54137ccc498ec48c3d981511,Raaka Chocolate Factory,Dessert Shop
4aef6469f964a5200fd821e3,JCC MetroWest,Gym
4f9354d1e4b01b898fad0a2a,Harlem Food Bar,Winery
4d4c7f4ba33fb1f76620bf80,Harvest Buffet,Chinese Restaurant
41a12c00f964a520351e1fe3,Connolly's Pub & Restaurant,Pub
4ca76866a6e08cfa86508494,San Matteo Pizza Espresso Bar,Pizza Place
4de11f21ae605835c4645ff9,The Phase2 Treehouse,Office
4c0196b3f8492d7f941e5ffa,Super Car Wash & Quick Lube,Automotive Shop
4b196b01f964a520fbdc23e3,Alice's Tea Cup: Chapter III,Café
4a89e5b2f964a520490920e3,Charming Nail Salon,Salon / Barbershop
4e4e84c77d8bd425e481ed81,Central Park,New American Restaurant
4a534cc4f964a5202cb21fe3,Third Rail Coffee,Coffee Shop
4c77b4c4f247370402cf66eb,QCC Medical Arts Building,Medical School
4b78a508f964a520b4db2ee3,National Restaurant & Coffee,Diner
4aeb79bff964a52078c221e3,Benihana,Japanese Restaurant
4ae32263f964a520ca9021e3,Brooklyn Borough Hall,City Hall
4dab7425fa8cc764974da770,Bedford-Stuyvesant,Neighborhood
4d2cc14bb47d2c0fd1608594,Barry’s Bootcamp,Gym
4cd3f20d9828b60cc31ad884,"The Bronx, NY",County
4ea743c249011f902142cfc9,Appboy,Tech Startup
5217d69211d2eda63cc11958,Harmon Face Values,Drugstore / Pharmacy
4d262e707db754812ad163b2,Hillside Super Laundromat,Laundry Service
53405ce3498e9256772a2aad,Harpursville,City
49e28781f964a52037621fe3,Martha's Country Bakery,Bakery
3fd66200f964a52044e81ee3,Blondies,Sports Bar
4a836e43f964a52022fb1fe3,Cranberry Cafe,Deli / Bodega
50f1e4ede412b70a652d6d05,Ichi Cellar,Lounge
4ca87e7dd971b1f7c8df14e1,East River Running Path,Track
56b2103e498eef7fdee493fd,Barneys New York,Department Store
518c39dd498e9692c844af13,The Coffee Bean & Tea Leaf,Coffee Shop
4b58e098f964a5206d7028e3,Broadway Pizza,Pizza Place
4e55a736a809cbf4e4720053,"West Orange, NJ",City
4b3aa437f964a520bf6b25e3,The Four Seasons Restaurant,American Restaurant
4b893a48f964a520662432e3,Pasticceria Bruno,Café
4b049beef964a5209e5522e3,Bonnie's Nail & Spa,Salon / Barbershop
4e1879a5d1648b8348327b29,La Bistro Gourmet Pizza,Pizza Place
4d1e9701bdd7a09312d5dece,The Rail House,American Restaurant
5407a76e498e743eaa26f8a4,Cow & Clover,New American Restaurant
4a05c15af964a5206f721fe3,Warwick Valley Winery & Distillery,Winery
4075e780f964a52059f21ee3,Gorilla Coffee,Coffee Shop
55dbbcbb498eee594b0a02a5,Drexler's,Cocktail Bar
4e034363b61ce80e5d67d09f,Duane Reade,Drugstore / Pharmacy
457be73df964a520f73e1fe3,Papatzul,Mexican Restaurant
4646ec01f964a52092461fe3,tree bistro,French Restaurant
4a855d7df964a5202efe1fe3,The Helmsley Building,Building
4b292867f964a520f99924e3,NJT - Clifton Station (MBPJ),Train Station
4ba28d85f964a520a10338e3,Manhattan Neighborhood Network,TV Station
4b6dca17f964a5200c902ce3,Four Brothers,Pizza Place
4fcbdeb8e4b03cd9643c2bee,Calexico - Park Slope,Taco Place
4b2820d5f964a520778f24e3,New York Junior League,Non-Profit
4b7f36b5f964a520a31f30e3,The Mark Restaurant by Jean-Georges,American Restaurant
4bbf69c530c99c74c7265511,Momofuku Milk Bar,Dessert Shop
503813afe4b0c89c23b854f0,Josie's,Bar
4c1c2ac8eac020a1872d46c2,Yorkville,Neighborhood
4a34038ef964a520929b1fe3,The Home Depot,Hardware Store
5488db09498e851a0183403a,Refine Method,Gym
4bc5b5525935c9b6b137a6d2,Bushwick,Neighborhood
4b8087f0f964a520727a30e3,Penthouse 808,Restaurant
4d92613b7b5ea1435b78b0b8,K & L Delicatessen,Deli / Bodega
43125000f964a52057271fe3,Nana Restaurant & Bar,Asian Restaurant
4f3f080ce4b0b5869f0165a2,Extra Fancy,Seafood Restaurant
4bb4d1da86a8d13aecebde7f,Stever's Candies,Candy Store
4aaec105f964a520286320e3,PetSmart,Pet Store
4a149749f964a52055781fe3,Locanda Verde,Italian Restaurant
4bbb9ee9e436ef3bfd925564,Rochester City Hall,City Hall
522d032a7e48723944ee8016,Skylight at Moynihan Station,Event Space
4b3aa346f964a520a76b25e3,Holiday Valley Resort,Ski Area
4a22d4f8f964a520937d1fe3,La Maison du Chocolat,Chocolate Shop
4eda64ced5fb8f213a5d740e,Planet Fitness,Gym / Fitness Center
4c423ed0520fa5938ef4caac,Westchester Square,Park
4a91fd0af964a520861c20e3,White Mana,Burger Joint
4c2109023389c9b6ba274ffb,Divine Nails,Nail Salon
4b706aa4f964a5201f192de3,Fuller Building,Building
521bd6f0498eaef38651acb1,The East Pole - Kitchen & Bar,English Restaurant
4aad54f5f964a520be5f20e3,City Cinemas 86th Street East,Movie Theater
43fdcd9af964a520f72f1fe3,El Cocotero,Arepa Restaurant
3fd66200f964a520f7e51ee3,Joe's Pub at The Public,Music Venue
4b2c3636f964a520ddc324e3,Arno Ristorante,Italian Restaurant
4bf759d05ec320a13efa86d3,Los Amigos Chimichurry,South American Restaurant
4eb1b6859adfb95b77765bf9,The Cuban,Cuban Restaurant
50001260e4b09359230a62cf,LARK,Coffee Shop
3fd66200f964a52071e61ee3,Ear Inn,Pub
4bf81563b182c9b61fce765a,Astoria Bagel Shop,Bagel Shop
462a6065f964a520d9451fe3,Junior's Restaurant & Bakery,American Restaurant
4eaf0752d3e30d448393b841,Lao Bei Fang,Chinese Restaurant
4be9fbd5415e20a15591e4bb,Citibank,Bank
49ecd458f964a52099671fe3,Williamsburg Bridge,Bridge
4b589ee6f964a520cc6128e3,Key Food,Grocery Store
3fd66200f964a5203be71ee3,Magnolia Bakery,Bakery
43a52546f964a520532c1fe3,John F. Kennedy International Airport (JFK),Airport
4ba6a73ef964a520626639e3,Bazzarelli Restaurant,Italian Restaurant
503657dfe4b0dc8dfb22edbd,Guy's American Kitchen and Bar,American Restaurant
4ca4e519a6e08cfa884d6c94,Midtown Manhattan,Neighborhood
4fd38a04e4b065401a9aaf88,Forgtmenot,New American Restaurant
4acbd878f964a520ffc720e3,The Crosby Bar,Hotel Bar
522004a693cd39a8ea569310,The Moonlight Mile,Whisky Bar
41102700f964a520d60b1fe3,Macy's,Department Store
50a570e1d86c0f29e75f42d8,Maiden Lane,Bar
4c9a57cc78fc236aa3b83497,St Simon And Jude,Church
4b6399a9f964a52011862ae3,Ovest Pizzoteca by Luzzo's,Pizza Place
40c10d00f964a520dd001fe3,Ruby's Café,Australian Restaurant
44f9a2c4f964a52066381fe3,Joyce Bakeshop,Bakery
4cf009ae7b94370446c43653,Trattoria Lucia,Italian Restaurant
4d542d6265586ea8a57673c8,Weiss Cafe,College Cafeteria
51433b9af0e4066e7af9002b,Deals,Discount Store
4b2e7540f964a52080e024e3,"Totowa, NJ",City
4b82a3f6f964a52005dc30e3,Sunset Bagels,Bagel Shop
4c37b0350a71c9b6f8573fc9,"Yonkers, NY",City
4ee535472c5b5fc6cd1fd9d9,The Wren,Gastropub
4c2b3de98abca59321ceff1f,Starbucks,Coffee Shop
49e380a5f964a5208c621fe3,Lyceum Theatre,Theater
4c56f8e67329c9282bc28d80,Burger King,Fast Food Restaurant
4cea0bd8b99754817d810545,Kingsbridge,Building
53a60a88498ef405d8a78217,VITE vinosteria,Italian Restaurant
51deeb27498e0bcc94b6538c,Lady M Cake Boutique,Bakery
4bcccd1b511f9521c4aab3c7,Dolphin Fitness,Gym
50b67a8890e77df140910fea,305 Fitness,Gym / Fitness Center
4be497adbcef2d7f05c802e5,Smokin' Cigar Shop,Smoke Shop
4af0efedf964a52036e021e3,Hilton Newark Penn Station,Hotel
49c64842f964a5202e571fe3,Columbus Circle,Plaza
4a257482f964a520557e1fe3,Momofuku Milk Bar,Dessert Shop
4afdd0a4f964a520232b22e3,C.H. Evans Brewing Co. at the Albany Pump Station,Brewery
5448151a498e9539fd673519,"Atwood, Kitchen & Bar",American Restaurant
4e4e8ef61fc7e04d29e227f3,The Cannibal Beer & Butcher,New American Restaurant
53bbf3be498e18ec3a07c2b0,Planet Fitness,Gym / Fitness Center
5484890c498e985cf4e3c076,sweetgreen,Salad Place
50493e39e4b0cc0cf113ae30,Dirty Bird To Go,Fried Chicken Joint
4a20015af964a520447c1fe3,Artjail,Art Gallery
4f05ed7fd3e321b78fda80b0,Turco Mediterranean Grill,Mediterranean Restaurant
4b512033f964a520ba4327e3,Pearl Street Pub,Pub
4fb81f5ae4b0c241c411cc83,Kung Fu Tea (功夫茶),Bubble Tea Shop
4b5382b9f964a52060a027e3,New York Sports Club,Gym
5108327ce4b0801082d53149,Walgreens,Drugstore / Pharmacy
49c6a96af964a5206d571fe3,New York Sports Club,Gym
42f15a80f964a520bf261fe3,Diablo Royale,Mexican Restaurant
4a19bfeaf964a520487a1fe3,Go! Go! Curry!,Japanese Curry Restaurant
4d9cfefbc99fb60c9133be8b,"Little Neck, NY",Neighborhood
3fd66200f964a52079e61ee3,Puffy's Tavern,Bar
4c97edbdf419a09395806b88,"Brooklyn, NY",County
54d8f562498e06a504cb5c47,Kuu Ramen,Japanese Restaurant
51c245a7498e9ab6be17b2aa,Cent'Anni,Italian Restaurant
4e5407597d8b8e9188e59d13,Lexington Brass,American Restaurant
4bc8ceda0687ef3bd7a3d8cc,American Folk Art Museum,Art Museum
4bc3c895dce4eee136c0719d,Creekside Resort,Pet Store
4ca4e519a6e08cfa884d6c94,Midtown Manhattan,Neighborhood
40773900f964a52064f21ee3,Angry Wade's,Sports Bar
4bb6b9b76edc76b08c72311c,David & Lorraine Cheng Library,College Library
49fce426f964a520ed6e1fe3,Equinox Columbus Circle,Gym / Fitness Center
4bedecffa40fc92817c3820c,Chart House,Seafood Restaurant
4b12a0fcf964a520888b23e3,Our Lady of Mount Carmel R.C. Church,Church
4a88980cf964a5200d0720e3,St. Barnabas Hospital,Hospital
4c05a977761ac9b6c8e41f74,Tattoo Garage,Tattoo Parlor
4de798b2b0fb2165e1a94c48,Margaretville Hospital,Hospital
3fd66200f964a5201fe51ee3,Sidewalk Cafe,Café
54459a46498ecf8ec204cc61,Vic's,Italian Restaurant
44e36de7f964a52040371fe3,Tonic East,Sports Bar
47584792f964a520ca4c1fe3,Kanoyama,Sushi Restaurant
50a585b4e4b01812d6ad7384,Sotto 13,Italian Restaurant
4b2820d5f964a520778f24e3,New York Junior League,Non-Profit
49ede525f964a52000681fe3,Braai,African Restaurant
4b92bb5ef964a5203c1634e3,The Home Depot,Hardware Store
49ecdf7df964a520a7671fe3,Barcelona Bar,Bar
4e70b5ae14950bb0d72e7c2e,Maimonide of Brooklyn,Vegetarian / Vegan Restaurant
